,Region,Area,Electorate,Pct_Turnout,Valid_Votes,Remain,Leave,Pct_Remain,Pct_Leave
257,South East,Reigate and Banstead,103731,78.28,81161,40181,40980,0.49507768509505795,0.504922314904942
258,South East,Runnymede,58272,76.07,44294,20259,24035,0.4573757168013726,0.5426242831986273
259,South East,Spelthorne,72674,77.93,56609,22474,34135,0.39700400996308005,0.60299599003692
260,South East,Surrey Heath,65569,79.81,52305,25638,26667,0.4901634642959564,0.5098365357040436
261,South East,Tandridge,64044,80.36,51420,24251,27169,0.4716258265266433,0.5283741734733567
262,South East,Waverley,92291,82.35,75942,44341,31601,0.5838798030075584,0.4161201969924416
263,South East,Woking,71313,77.49,55221,31007,24214,0.5615073975480342,0.43849260245196575
264,South East,Adur,48755,76.4,37229,16914,20315,0.45432324263343093,0.5456767573665691
265,South East,Arun,117138,77.86,91129,34193,56936,0.3752153540585324,0.6247846459414675
266,South East,Chichester,91659,77.91,71337,35011,36326,0.49078318404194177,0.5092168159580582
267,South East,Crawley,73575,73.24,53835,22388,31447,0.4158632859663787,0.5841367140336212
268,South East,Horsham,104270,81.65,85088,43785,41303,0.5145849003384732,0.4854150996615269
269,South East,Mid Sussex,108416,80.79,87528,46471,41057,0.5309272461383786,0.46907275386162145
270,South East,Worthing,81384,75.46,61366,28851,32515,0.47014633510412934,0.5298536648958707
271,South West,Bath and North East Somerset,136522,77.13,105230,60878,44352,0.578523234818968,0.421476765181032
272,South West,"Bristol, City of",312465,73.17,228445,141027,87418,0.6173345881940948,0.38266541180590513
273,South West,North Somerset,160860,77.47,124548,59572,64976,0.4783055528792112,0.5216944471207887
274,South West,South Gloucestershire,207793,76.24,158333,74928,83405,0.4732304699588841,0.5267695300411159
275,South West,Plymouth,186989,71.41,133455,53458,79997,0.4005694803491814,0.5994305196508186
276,South West,Torbay,102961,73.69,75824,27935,47889,0.3684189702468875,0.6315810297531125
277,South West,Bournemouth,132752,69.3,91926,41473,50453,0.45115636490220395,0.5488436350977961
278,South West,Poole,113421,75.38,85448,35741,49707,0.4182777829791218,0.5817222170208782
279,South West,Swindon,148960,75.9,112965,51220,61745,0.4534147744876732,0.5465852255123268
280,South West,Cornwall,419755,77.05,323205,140540,182665,0.4348323819247846,0.5651676180752154
281,South West,Isles of Scilly,1799,79.16,1424,803,621,0.5639044943820225,0.43609550561797755
282,South West,Wiltshire,366555,78.87,288895,137258,151637,0.47511379566970696,0.524886204330293
283,South West,East Devon,112527,78.94,88783,40743,48040,0.458905421082865,0.5410945789171351
284,South West,Exeter,86417,73.91,63803,35270,28533,0.5527953231039293,0.44720467689607074
285,South West,Mid Devon,60532,79.38,48006,22400,25606,0.4666083406240887,0.5333916593759114
286,South West,North Devon,75548,76.85,58031,24931,33100,0.4296152056659372,0.5703847943340629
287,South West,South Hams,69121,80.27,55450,29308,26142,0.5285482416591524,0.4714517583408476
288,South West,Teignbridge,103740,79.4,82312,37949,44363,0.46103848770531636,0.5389615122946837
289,South West,Torridge,52881,78.41,41429,16229,25200,0.3917304303748582,0.6082695696251418
290,South West,West Devon,43823,81.26,35595,16658,18937,0.4679870768366344,0.5320129231633657
291,South West,Christchurch,39176,79.3,31050,12782,18268,0.411658615136876,0.588341384863124
292,South West,East Dorset,71966,81.33,58488,24786,33702,0.4237792367665162,0.5762207632334838
293,South West,North Dorset,52980,79.71,42201,18399,23802,0.435984929267079,0.564015070732921
294,South West,Purbeck,36418,78.91,28720,11754,16966,0.40926183844011144,0.5907381615598886
295,South West,West Dorset,82071,79.49,65191,31924,33267,0.489699498397018,0.510300501602982
296,South West,Weymouth and Portland,50442,75.87,38255,14903,23352,0.3895699908508692,0.6104300091491308
297,South West,Cheltenham,87060,75.88,66013,37081,28932,0.561722690985109,0.438277309014891
298,South West,Cotswold,68734,79.8,54821,28015,26806,0.5110267963006877,0.4889732036993123
299,South West,Forest of Dean,66705,77.47,51643,21392,30251,0.41422845303332495,0.5857715469666751
300,South West,Gloucester,89661,72.06,64577,26801,37776,0.41502392492683154,0.5849760750731685
301,South West,Stroud,92631,80.03,74064,40446,33618,0.5460952689565781,0.4539047310434219
302,South West,Tewkesbury,67831,79.15,53652,25084,28568,0.4675314992917319,0.5324685007082681
303,South West,Mendip,85068,77.01,65455,33427,32028,0.5106867313421435,0.4893132686578565
304,South West,Sedgemoor,89714,76.3,68414,26545,41869,0.38800537901599086,0.6119946209840091
305,South West,South Somerset,126495,78.69,99467,42527,56940,0.4275488352921069,0.572451164707893
306,South West,Taunton Deane,84164,78.16,65733,30944,34789,0.47075289428445377,0.5292471057155462
307,South West,West Somerset,27478,79.17,21734,8566,13168,0.3941290144474096,0.6058709855525904
308,South West,Gibraltar,24119,83.64,20145,19322,823,0.9591461901216183,0.04085380987838173
309,Wales,Isle of Anglesey,51445,73.82,37951,18618,19333,0.49057995836736845,0.5094200416326315
310,Wales,Gwynedd,84575,72.42,61182,35517,25665,0.5805138766303815,0.4194861233696185
311,Wales,Conwy,91368,71.75,65504,30147,35357,0.46023143624816804,0.5397685637518319
312,Wales,Denbighshire,75362,69.14,52072,23955,28117,0.4600361038561991,0.5399638961438009
313,Wales,Flintshire,115964,74.9,86797,37867,48930,0.43627083885387746,0.5637291611461226
314,Wales,Wrexham,98384,71.56,70366,28822,41544,0.4096012278657306,0.5903987721342694
315,Wales,Ceredigion,53400,74.48,39742,21711,18031,0.5462986261385939,0.4537013738614061
316,Wales,Pembrokeshire,92155,74.39,68522,29367,39155,0.42857768307988675,0.5714223169201132
317,Wales,Carmarthenshire,139227,74.07,103035,47654,55381,0.4625030329499685,0.5374969670500316
